team,season,position,transfer_in,transfer_out,transfer_total
Chelsea,17-18,5,260500000,194600000,-65900000
Chelsea,18-19,3,208800000,83250000,-125550000
Chelsea,19-20,4,45000000,157270000,112270000
Chelsea,20-21,4,247200000,57150000,-190050000
Chelsea,21-22,3,118000000,124600000,6600000
Chelsea,Average,3.8,175900000,123374000,-52526000
Manchester City,17-18,1,317500000,91350000,-226150000
Manchester City,18-19,1,78590000,57600000,-20990000
Manchester City,19-20,2,159520000,71000000,-88520000
Manchester City,20-21,1,173400000,64000000,-109400000
Manchester City,21-22,1,138900000,93800000,-45100000
Manchester City,Average,1.2,173582000,75550000,-98032000
Manchester United,17-18,2,198400000,45500000,-152900000
Manchester United,18-19,6,82700000,30550000,-52150000
Manchester United,19-20,3,234800000,81180000,-153620000
Manchester United,20-21,2,83800000,19500000,-64300000
Manchester United,21-22,6,142000000,30700000,-111300000
Manchester United,Average,3.8,148340000,41486000,-106854000
Arsenal FC,17-18,6,152850000,162000000,9150000
Arsenal FC,18-19,5,80150000,9100000,-71050000
Arsenal FC,19-20,8,160800000,53650000,-107150000
Arsenal FC,20-21,8,86000000,19150000,-66850000
Arsenal FC,21-22,5,167400000,31400000,-136000000
Arsenal FC,Average,6.4,129440000,55060000,-74380000
Liverpool FC,17-18,4,173650000,184500000,10850000
Liverpool FC,18-19,2,182200000,41320000,-140880000
Liverpool FC,19-20,1,10400000,44500000,34100000
Liverpool FC,20-21,3,84050000,17200000,-66850000
Liverpool FC,21-22,2,87000000,29550000,-57450000
Liverpool FC,Average,2.4,107460000,63414000,-44046000
Everton FC,17-18,8,203200000,126380000,-76820000
Everton FC,18-19,8,99800000,28650000,-71150000
Everton FC,19-20,12,121000000,87800000,-33200000
Everton FC,20-21,10,73370000,4430000,-68950000
Everton FC,21-22,16,39500000,46000000,6500000
Everton FC,Average,10.8,107374000,58652000,-48724000
Tottenem Hotspur,17-18,3,121000000,103800000,-17200000
Tottenem Hotspur,18-19,4,0,5350000,5350000
Tottenem Hotspur,19-20,6,148500000,64500000,-84000000
Tottenem Hotspur,20-21,7,110500000,13300000,-97200000
Tottenem Hotspur,21-22,4,95900000,34620000,-61280000
Tottenem Hotspur,Average,4.8,95180000,44314000,-50866000
Leicester City,17-18,5,83850000,50100000,-33750000
Leicester City,18-19,9,114600000,95800000,-18800000
Leicester City,19-20,5,104300000,88500000,-15800000
Leicester City,20-21,5,59400000,53770000,-5630000
Leicester City,21-22,8,67600000,4000000,-63600000
Leicester City,Average,6.4,85950000,58434000,-27516000
Aston Villa,17-18,24,2800000,17830000,15030000
Aston Villa,18-19,25,19100000,16150000,-2950000
Aston Villa,19-20,17,159500000,3000000,-156500000
Aston Villa,20-21,11,101350000,2770000,-98580000
Aston Villa,21-22,14,129800000,127000000,-2800000
Aston Villa,Average,18.2,82510000,33350000,-49160000
West Ham United,17-18,13,56800000,69020000,12220000
West Ham United,18-19,10,100900000,13770000,-87140000
West Ham United,19-20,16,119800000,55480000,-64320000
West Ham United,20-21,6,54700000,45410000,-9290000
West Ham United,21-22,7,74500000,4240000,-70270000
West Ham United,Average,10.4,81340000,37584000,-43760000
Wolverhampton Wanderers,17-18,21,73400000,18740000,-54660000
Wolverhampton Wanderers,18-19,7,112750000,23300000,-89450000
Wolverhampton Wanderers,19-20,7,116700000,24100000,-92600000
Wolverhampton Wanderers,20-21,13,87590000,79200000,-8390000
Wolverhampton Wanderers,21-22,10,37600000,31800000,-5800000
Wolverhampton Wanderers,Average,11.6,85608000,35428000,-50180000
Newcastle United,17-18,10,46500000,21220000,-25280000
Newcastle United,18-19,13,59750000,51050000,-8700000
Newcastle United,19-20,13,72900000,35640000,-37260000
Newcastle United,20-21,12,39000000,275000,-38730000
Newcastle United,21-22,11,130500000,0,-130500000
Newcastle United,Average,11.8,69730000,21637000,-48094000
Brighton & Hove Albion,17-18,15,66500000,400000,-66100000
Brighton & Hove Albion,18-19,17,87120000,13620000,-73500000
Brighton & Hove Albion,19-20,15,61740000,8500000,-53240000
Brighton & Hove Albion,20-21,16,28500000,20600000,-7900000
Brighton & Hove Albion,21-22,9,75000000,78500000,3500000
Brighton & Hove Albion,Average,14.4,63772000,24324000,-39448000
Southampton FC,17-18,17,61250000,98350000,37100000
Southampton FC,18-19,16,62250000,26100000,-36150000
Southampton FC,19-20,11,61500000,27300000,-34200000
Southampton FC,20-21,15,37300000,26300000,-11000000
Southampton FC,21-22,15,43100000,60350000,17250000
Southampton FC,Average,14.8,53080000,47680000,-5400000
Fulham FC,17-18,23,20170000,18200000,-1970000
Fulham FC,18-19,19,116500000,5350000,-111150000
Fulham FC,19-20,24,37000000,28500000,-8500000
Fulham FC,20-21,18,37250000,0,-37250000
Fulham FC,21-22,21,22000000,5500000,-16500000
Fulham FC,Average,21,46584000,11510000,-35074000